Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Dawid Polak (08),C2,ŚPO,2025-10-18,2025-10-19,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,ŚPO,2025-10-25,2025-10-26,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,"10",2025-10-29,2025-10-29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,"10",2025-11-08,2025-11-09,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,"10",2025-11-14,2025-11-16,1,90,3,0,0,4,-2,0,0,0,0,3,6,0,0,0,14,0
Dawid Polak (08),C2,"10",2025-12-06,2025-12-07,1,60,6,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0
Dominik Kramarczyk (10),U-17,ŚP,2025-09-20,2025-09-21,1,30,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0
Dominik Kramarczyk (10),U-17,ŚP,2025-09-29,2025-09-30,1,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
Dominik Kramarczyk (10),U-17,ŚP,2025-10-04,2025-10-05,1,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Dominik Kramarczyk (10),U-17,ŚP,2025-10-11,2025-10-12,1,80,3,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0
Dominik Kramarczyk (10),U-17,ŚP,2025-10-18,2025-10-19,2,135,6,4,0,2,0,0,-1,0,0,3,0,2,0,0,15,1
Dominik Kramarczyk (10),U-17,ŚP,2025-10-25,2025-10-26,1,45,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0
Dominik Kramarczyk (10),U-17,ŚP,2025-10-29,2025-10-29,1,90,0,2,0,0,0,0,0,0,0,1,2,0,0,0,5,0
Dominik Kramarczyk (10),U-17,ŚP,2025-11-08,2025-11-09,1,60,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Dominik Kramarczyk (10),U-17,ŚP,2025-11-14,2025-11-16,1,45,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0
Dominik Kramarczyk (10),U-17,ŚP,2025-11-21,2025-11-23,1,70,6,0,2,0,0,0,0,0,0,2,2,0,0,0,12,0
Dominik Kramarczyk (10),U-17,ŚP,2025-11-29,2025-11-30,1,60,0,4,0,2,0,0,0,0,0,0,2,0,0,0,8,0
Dominik Kramarczyk (10),U-17,ŚP,2025-12-06,2025-12-07,1,60,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0
Dominik Kramarczyk (10),U-17,ŚP,2025-12-13,2025-12-14,2,120,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0
Eryk Mańka (08),U-19,PW/LW,2025-09-20,2025-09-21,1,45,3,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0
Eryk Mańka (08),U-19,PW/LW,2025-09-29,2025-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryk Mańka (08),U-19,LW/PW,2025-10-04,2025-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryk Mańka (08),U-19,PW/LW,2025-10-11,2025-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryk Mańka (08),U-19,LW/PW,2025-10-18,2025-10-19,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryk Mańka (08),U-19,LW/PW,2025-10-25,2025-10-26,2,105,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0
Eryk Mańka (08),U-19,LW/PW,2025-11-08,2025-11-09,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryk Mańka (08),U-19,LW/PW,2025-11-14,2025-11-16,1,45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Eryk Mańka (08),U-19,LW/PW,2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,ŚPD,2025-09-20,2025-09-21,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,ŚPD,2025-09-29,2025-09-30,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,ŚPD,2025-10-04,2025-10-05,1,90,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2
Fabian Sowiecki (06),C2,ŚPD,2025-10-11,2025-10-12,1,90,0,0,0,0,-2,0,0,0,0,0,0,0,2,0,-2,2
Fabian Sowiecki (06),C2,ŚPD,2025-10-18,2025-10-19,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,ŚPD,2025-10-25,2025-10-26,1,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Fabian Sowiecki (06),C2,"8",2025-10-29,2025-10-29,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,"8",2025-11-08,2025-11-09,1,60,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2
Fabian Sowiecki (06),C2,"8",2025-11-14,2025-11-16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,"8",2025-11-29,2025-11-30,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Sowiecki (06),C2,"8",2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
